Date,SPY_PER,SPY_EPS,SPY_signal
2013-04-01,1.990000000000002,0.45000000000000284,상승
2013-05-01,3.0299999999999994,1.740000000000009,상승
2013-06-01,2.75,3.030000000000001,상승
2013-07-01,2.5700000000000003,4.640000000000001,상승
2013-08-01,1.7699999999999996,6.260000000000005,상승
2013-09-01,1.1899999999999977,7.8700000000000045,상승
2013-10-01,1.2399999999999984,9.810000000000002,상승
2013-11-01,2.0299999999999976,11.75,상승
2013-12-01,1.5999999999999979,13.689999999999998,상승
2014-01-01,1.1199999999999974,13.510000000000005,상승
2014-02-01,0.7399999999999984,13.329999999999998,상승
2014-03-01,0.8000000000000007,13.149999999999991,상승
2014-04-01,0.6600000000000001,12.829999999999998,상승
2014-05-01,0.21000000000000085,12.489999999999995,상승
2014-06-01,1.0799999999999983,12.170000000000002,상승
2014-07-01,0.8399999999999999,11.97999999999999,상승
2014-08-01,0.7699999999999996,11.780000000000001,상승
2014-09-01,0.9299999999999997,11.58999999999999,상승
2014-10-01,0.6400000000000006,8.429999999999993,상승
2014-11-01,1.6000000000000014,5.269999999999996,상승
2014-12-01,2.039999999999999,2.1099999999999994,상승
2015-01-01,1.870000000000001,0.8700000000000045,상승
2015-02-01,2.710000000000001,-0.35999999999999943,정상
2015-03-01,2.4800000000000004,-1.5999999999999943,정상
2015-04-01,3.0700000000000003,-3.8100000000000023,정상
2015-05-01,3.460000000000001,-6.0,정상
2015-06-01,3.240000000000002,-8.210000000000008,정상
2015-07-01,3.4399999999999977,-10.579999999999998,정상
2015-08-01,3.469999999999999,-12.930000000000007,정상
2015-09-01,2.6400000000000006,-15.299999999999997,정상
2015-10-01,4.18,-15.459999999999994,정상
2015-11-01,3.9200000000000017,-15.620000000000005,정상
2015-12-01,3.66,-15.780000000000001,정상
2016-01-01,2.16,-14.790000000000006,정상
2016-02-01,1.25,-13.799999999999997,정상
2016-03-01,2.4299999999999997,-12.810000000000002,정상
2016-04-01,2.549999999999997,-11.200000000000003,정상
2016-05-01,1.889999999999997,-9.599999999999994,정상
2016-06-01,1.8499999999999979,-7.989999999999995,정상
2016-07-01,2.120000000000001,-5.849999999999994,정상
2016-08-01,2.4200000000000017,-3.7099999999999937,정상
2016-09-01,2.7699999999999996,-1.5699999999999932,정상
2016-10-01,0.8900000000000006,1.6299999999999955,상승
2016-11-01,-0.3200000000000003,4.820000000000007,회복
2016-12-01,0.020000000000003126,8.019999999999996,상승
2017-01-01,1.4100000000000001,9.959999999999994,상승
2017-02-01,1.6600000000000001,11.909999999999997,상승
2017-03-01,0.21000000000000085,13.850000000000009,상승
2017-04-01,-0.7300000000000004,14.930000000000007,회복
2017-05-01,-0.5,16.019999999999996,회복
2017-06-01,-0.5700000000000003,17.099999999999994,회복
2017-07-01,-1.1600000000000001,17.400000000000006,회복
2017-08-01,-1.4100000000000001,17.689999999999998,회복
2017-09-01,-0.9399999999999977,17.989999999999995,회복
2017-10-01,0.10000000000000142,17.10000000000001,상승
2017-11-01,0.4599999999999973,16.22,상승
2017-12-01,0.48999999999999844,15.329999999999998,상승
2018-01-01,1.379999999999999,15.27000000000001,상승
2018-02-01,0.14000000000000057,15.210000000000008,상승
2018-03-01,-0.19000000000000128,15.149999999999991,회복
2018-04-01,-0.7099999999999973,16.260000000000005,회복
2018-05-01,-0.8200000000000003,17.349999999999994,회복
2018-06-01,-0.9100000000000001,18.460000000000008,회복
2018-07-01,-1.0300000000000011,20.08,회복
2018-08-01,-0.7899999999999991,21.689999999999998,회복
2018-09-01,-1.0300000000000011,23.309999999999988,회복
2018-10-01,-2.4200000000000017,23.049999999999997,회복
2018-11-01,-3.139999999999997,22.769999999999996,회복
2018-12-01,-4.859999999999999,22.50999999999999,회복
2019-01-01,-5.369999999999997,21.33,회복
2019-02-01,-3.219999999999999,20.129999999999995,회복
2019-03-01,-2.5500000000000007,18.94999999999999,회복
2019-04-01,-0.9700000000000024,16.89,회복
2019-05-01,-1.3399999999999999,14.849999999999994,회복
2019-06-01,-1.1199999999999974,12.790000000000006,회복
2019-07-01,-0.04999999999999716,9.359999999999985,회복
2019-08-01,-0.6999999999999993,5.939999999999998,회복
2019-09-01,0.19000000000000128,2.5100000000000193,상승
2019-10-01,0.7899999999999991,4.030000000000001,상승
2019-11-01,1.9499999999999993,5.560000000000002,상승
2019-12-01,3.3900000000000006,7.0800000000000125,상승
2020-01-01,5.279999999999998,-1.3000000000000114,정상
2020-02-01,5.82,-9.679999999999993,정상
2020-03-01,1.9400000000000013,-18.059999999999988,정상
2020-04-01,3.41,-24.05000000000001,정상
2020-05-01,6.670000000000002,-30.049999999999983,정상
2020-06-01,9.919999999999998,-36.040000000000006,정상
2020-07-01,10.159999999999997,-35.58999999999999,정상
2020-08-01,12.739999999999995,-35.129999999999995,정상
2020-09-01,11.830000000000002,-34.68000000000001,정상
2020-10-01,13.259999999999998,-38.230000000000004,정상
2020-11-01,14.55,-41.790000000000006,정상
2020-12-01,16.479999999999997,-45.34,정상
2021-01-01,11.080000000000002,-26.269999999999996,정상
2021-02-01,6.82,-7.200000000000003,정상
2021-03-01,7.699999999999999,11.86999999999999,상승
2021-04-01,4.950000000000003,27.75999999999999,상승
2021-05-01,0.23000000000000043,43.639999999999986,상승
2021-06-01,-4.59,59.52999999999999,회복
2021-07-01,-5.879999999999999,65.42999999999999,회복
2021-08-01,-8.189999999999998,71.31,회복
2021-09-01,-8.930000000000003,77.21000000000001,회복
2021-10-01,-10.909999999999997,86.05,회복
2021-11-01,-12.66,94.89999999999999,회복
2021-12-01,-15.629999999999999,103.74000000000001,회복
2022-01-01,-12.850000000000001,92.39,회복
2022-02-01,-10.82,81.06,회복
2022-03-01,-8.309999999999999,69.71000000000001,회복
2022-04-01,-7.520000000000003,57.640000000000015,회복
2022-05-01,-7.240000000000002,45.56999999999999,회복
2022-06-01,-5.57,33.5,회복
2022-07-01,-6.66,26.26000000000002,회복
2022-08-01,-4.609999999999999,19.039999999999992,회복
2022-09-01,-4.34,11.799999999999983,회복
2022-10-01,-3.960000000000001,-0.5099999999999909,하락
2022-11-01,-3.370000000000001,-12.809999999999974,하락
2022-12-01,-0.6699999999999982,-25.120000000000005,하락
2023-02-01,0.6099999999999994,-23.28,정상
2023-03-01,0.2099999999999973,-22.379999999999995,정상
