"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2022","306.17","304.45","306.56","300.55","62.72M","2.59%"
"05/16/2022","298.44","300.15","302.26","297.13","59.19M","-1.16%"
"05/13/2022","301.94","295.72","303.00","294.08","83.68M","3.71%"
"05/12/2022","291.15","287.45","295.75","284.94","120.91M","-0.24%"
"05/11/2022","291.84","298.44","304.09","290.95","140.33M","-2.97%"
"05/10/2022","300.76","304.51","305.76","296.57","124.12M","1.21%"
"05/09/2022","297.15","303.48","309.35","295.72","113.39M","-3.91%"
"05/06/2022","309.25","310.95","315.09","305.11","139.57M","-1.20%"
"05/05/2022","313.00","325.17","325.25","309.62","154.61M","-5.04%"
"05/04/2022","329.60","319.31","330.29","313.89","116.08M","3.38%"
"05/03/2022","318.82","318.50","321.17","315.98","78.19M","0.11%"
"05/02/2022","318.48","312.83","318.72","309.64","115.51M","1.67%"
"04/29/2022","313.25","323.70","327.23","312.60","91.98M","-4.50%"
"04/28/2022","328.01","321.85","329.89","317.52","99.45M","3.55%"
"04/27/2022","316.76","317.24","322.88","315.00","111.20M","-0.12%"
"04/26/2022","317.14","327.47","327.66","316.86","105.82M","-3.77%"
"04/25/2022","329.58","323.73","329.90","322.43","101.76M","1.28%"
"04/22/2022","325.40","334.31","335.56","324.96","82.56M","-2.62%"
"04/21/2022","334.15","345.19","347.87","333.20","75.80M","-2.07%"
"04/20/2022","341.21","347.09","347.56","339.96","65.50M","-1.46%"
"04/19/2022","346.26","338.03","346.85","336.98","56.52M","2.24%"
"04/18/2022","338.69","337.35","341.04","335.79","58.56M","0.08%"
"04/14/2022","338.43","346.44","346.97","338.21","73.52M","-2.29%"
"04/13/2022","346.35","339.80","347.43","339.06","61.37M","2.03%"
"04/12/2022","339.45","345.76","347.69","338.04","72.79M","-0.42%"
"04/11/2022","340.89","344.81","345.75","340.54","66.11M","-2.37%"
"04/08/2022","349.15","352.32","353.09","348.50","61.96M","-1.40%"
"04/07/2022","354.10","352.24","356.35","348.69","63.78M","0.24%"
"04/06/2022","353.26","355.65","356.78","350.56","90.08M","-2.17%"
"04/05/2022","361.10","367.81","368.54","359.93","62.74M","-2.22%"
"04/04/2022","369.30","362.71","369.31","362.44","45.95M","2.06%"
"04/01/2022","361.85","362.81","363.61","358.59","54.53M","-0.19%"
"03/31/2022","362.54","367.24","367.60","361.68","67.01M","-1.24%"
"03/30/2022","367.09","369.27","370.98","365.57","68.76M","-1.10%"
"03/29/2022","371.19","368.90","371.83","366.06","68.07M","1.72%"
"03/28/2022","364.91","359.34","365.01","358.07","56.83M","1.55%"
"03/25/2022","359.35","359.59","360.67","354.94","57.58M","-0.08%"
"03/24/2022","359.65","353.80","359.70","351.59","53.56M","2.22%"
"03/23/2022","351.83","354.01","357.66","351.77","70.62M","-1.44%"
"03/22/2022","356.96","350.59","357.85","350.20","63.35M","1.97%"
"03/21/2022","350.08","350.20","352.48","345.58","73.80M","-0.40%"
"03/18/2022","351.49","342.74","351.79","341.55","85.45M","2.05%"
"03/17/2022","344.44","338.37","344.50","337.04","67.81M","1.21%"
"03/16/2022","340.32","332.17","340.44","328.40","105.24M","3.71%"
"03/15/2022","328.15","320.88","328.95","319.23","76.47M","3.14%"
"03/14/2022","318.17","323.13","326.59","317.45","79.80M","-1.92%"
"03/11/2022","324.40","334.32","334.64","323.90","66.23M","-2.07%"
"03/10/2022","331.27","330.82","332.51","326.71","69.36M","-1.11%"
"03/09/2022","334.99","331.75","336.38","329.09","64.72M","3.60%"
"03/08/2022","323.35","324.05","333.21","319.94","116.15M","-0.46%"
"03/07/2022","324.86","337.29","338.48","324.65","89.93M","-3.69%"
"03/04/2022","337.30","339.84","341.31","334.92","77.01M","-1.45%"
"03/03/2022","342.26","349.93","350.04","340.35","71.09M","-1.43%"
"03/02/2022","347.22","343.08","348.59","340.24","70.61M","1.68%"
"03/01/2022","341.49","345.75","348.08","338.90","67.41M","-1.53%"
"02/28/2022","346.80","342.51","348.54","341.32","77.52M","0.30%"
"02/25/2022","345.77","341.31","345.98","337.39","78.84M","1.55%"
"02/24/2022","340.49","318.84","341.04","318.26","130.61M","3.36%"
"02/23/2022","329.42","341.32","342.18","329.10","86.22M","-2.56%"
"02/22/2022","338.08","338.49","344.04","334.35","85.97M","-1.00%"
"02/18/2022","341.51","346.41","346.81","339.14","80.00M","-1.14%"
"02/17/2022","345.45","352.74","353.46","345.02","61.80M","-2.97%"
"02/16/2022","356.04","353.82","357.09","350.71","58.95M","-0.03%"
"02/15/2022","356.13","352.91","356.37","351.82","55.39M","2.49%"
"02/14/2022","347.49","346.49","350.98","343.89","80.25M","0.12%"
"02/11/2022","347.06","358.43","360.07","345.80","101.57M","-3.17%"
"02/10/2022","358.43","359.52","366.49","356.54","112.47M","-2.26%"
"02/09/2022","366.73","363.76","366.81","362.12","55.77M","2.12%"
"02/08/2022","359.12","353.96","360.24","352.80","64.72M","1.12%"
"02/07/2022","355.13","358.62","361.05","353.84","58.20M","-0.80%"
"02/04/2022","358.01","354.08","361.40","351.97","86.32M","1.26%"
"02/03/2022","353.55","358.53","361.93","352.46","95.38M","-4.05%"
"02/02/2022","368.49","369.76","370.10","364.29","78.78M","0.81%"
"02/01/2022","365.52","364.43","366.19","359.14","74.43M","0.68%"
"01/31/2022","363.05","353.20","363.65","351.52","94.33M","3.20%"
"01/28/2022","351.80","343.03","352.02","337.95","108.17M","3.14%"
"01/27/2022","341.10","349.40","351.27","340.05","95.26M","-1.01%"
"01/26/2022","344.57","352.91","356.88","340.78","146.56M","-0.16%"
"01/25/2022","345.11","346.67","351.03","341.68","124.40M","-2.32%"
"01/24/2022","353.30","345.90","353.98","334.15","199.45M","0.46%"
"01/21/2022","351.69","359.47","362.18","351.40","143.39M","-2.77%"
"01/20/2022","361.72","369.79","373.87","361.17","88.61M","-1.30%"
"01/19/2022","366.48","372.15","374.69","366.21","81.79M","-1.10%"
"01/18/2022","370.55","374.04","376.22","369.77","75.81M","-2.49%"
"01/14/2022","380.01","375.07","380.35","374.86","80.12M","0.62%"
"01/13/2022","377.66","388.77","389.47","376.70","77.99M","-2.50%"
"01/12/2022","387.35","388.46","390.20","385.01","54.58M","0.40%"
"01/11/2022","385.82","379.36","385.99","377.22","68.30M","1.50%"
"01/10/2022","380.11","374.82","380.64","369.31","91.77M","0.07%"
"01/07/2022","379.86","384.03","385.76","378.04","72.65M","-1.08%"
"01/06/2022","384.02","382.42","387.35","380.13","70.81M","-0.07%"
"01/05/2022","384.29","394.74","395.89","384.03","75.74M","-3.07%"
"01/04/2022","396.47","402.24","402.28","393.29","58.03M","-1.30%"
"01/03/2022","401.68","399.05","401.94","396.88","40.58M","0.96%"
"12/31/2021","397.85","399.66","401.06","397.34","34.75M","-0.62%"
"12/30/2021","400.35","401.33","403.57","399.75","23.85M","-0.30%"
"12/29/2021","401.55","401.75","403.05","399.11","32.25M","-0.01%"
"12/28/2021","401.61","404.40","404.58","400.71","33.11M","-0.46%"
"12/27/2021","403.48","398.25","403.48","398.22","32.82M","1.65%"
"12/23/2021","396.92","394.31","398.42","394.14","29.60M","0.75%"
"12/22/2021","393.95","388.91","394.16","388.23","37.04M","1.22%"
"12/21/2021","389.21","384.05","389.53","380.20","48.90M","2.24%"
"12/20/2021","380.69","379.57","381.50","377.47","65.34M","-1.10%"
"12/17/2021","384.91","383.33","389.19","381.77","81.64M","-0.50%"
"12/16/2021","386.84","398.04","398.48","385.21","82.59M","-2.57%"
