,DAA
2019-11-25,114.73368758410005
2019-11-26,115.19239061910005
2019-11-27,115.44091801660005
2019-11-29,115.04019133160003
2019-12-02,114.46737291360004
2019-12-03,114.24391158760007
2019-12-04,114.56812077760006
2019-12-05,114.76572391360007
2019-12-06,115.53717934260006
2019-12-09,115.39968505210004
2019-12-10,115.34803697510006
2019-12-11,115.61011762160004
2019-12-12,115.97332569110003
2019-12-13,116.66823068410002
2019-12-16,116.89629252410003
2019-12-17,117.01056431110001
2019-12-18,116.89933208310003
2019-12-19,117.22737791510002
2019-12-20,117.25878027110002
2019-12-23,117.2619880151
2019-12-24,117.35459664460002
2019-12-26,117.71274026210003
2019-12-27,117.78935031560002
2019-12-30,117.28311120260003
2019-12-31,117.53624710359999
2020-01-02,118.7531840972
2020-01-03,119.31008591
2020-01-06,119.28905189079998
2020-01-07,119.04391499639998
2020-01-08,118.57482330679997
2020-01-09,118.76771366359998
2020-01-10,119.07425538519998
2020-01-13,119.25049464919998
2020-01-14,119.38384520920002
2020-01-15,119.42720139160001
2020-01-16,119.53361609560001
2020-01-17,119.64343703159999
2020-01-21,119.5612685836
2020-01-22,119.47699859640001
2020-01-23,119.427390758
2020-01-24,119.1997320044
2020-01-27,118.6132290652
2020-01-28,118.7291329228
2020-01-29,119.31484416440001
2020-01-30,118.9775913644
2020-01-31,118.80749095639999
2020-02-03,118.81268995639999
2020-02-04,118.0799269564
2020-02-05,117.4667709564
2020-02-06,117.91672395639999
2020-02-07,118.6391069564
2020-02-10,119.21740595639996
2020-02-11,118.78613095639996
2020-02-12,118.49975595639997
2020-02-13,118.81066495639998
2020-02-14,119.21766895639995
2020-02-18,119.90842495639998
2020-02-19,120.17329095639997
2020-02-20,120.56914095639998
2020-02-21,121.10739095639998
2020-02-24,121.70161795639999
2020-02-25,121.26315795639998
2020-02-26,121.2810929564
2020-02-27,121.09062995640001
2020-02-28,122.2646569564
2020-03-02,121.9608777084
2020-03-03,124.59442012640001
2020-03-04,124.15127456039998
2020-03-05,126.23280512639998
2020-03-06,128.80893159040002
2020-03-09,130.3233262624
2020-03-10,126.20452719240001
2020-03-11,124.80200067640001
2020-03-12,123.07010308240001
2020-03-13,120.62817098039999
2020-03-16,123.98658562039999
2020-03-17,119.84412245639999
2020-03-18,115.44407629439999
2020-03-19,115.67036762039999
2020-03-20,119.8013748444
2020-03-23,123.53614284439999
2020-03-24,123.5221291784
2020-03-25,123.62612228439998
2020-03-26,124.7039259264
2020-03-27,126.91001610840001
2020-03-30,126.65130260839999
2020-03-31,126.30192102240001
2020-04-01,127.54341902240002
2020-04-02,127.40920302239999
2020-04-03,127.76152002239998
2020-04-06,126.33547502239996
2020-04-07,125.32885502239999
2020-04-08,124.72488302240001
2020-04-09,125.24497002239997
2020-04-13,125.0436460224
2020-04-14,125.21141602239996
2020-04-15,127.19110202239999
2020-04-16,127.77829702239995
2020-04-17,126.68779202239998
2020-04-20,127.47631102239995
2020-04-21,128.24805302239994
2020-04-22,127.59375002239992
2020-04-23,127.44275702239995
2020-04-24,127.54341902239995
2020-04-27,126.40258302239995
2020-04-28,127.35887202239991
2020-04-29,127.2582100223999
2020-04-30,126.92267002239991
2020-05-01,126.72804402239991
2020-05-04,126.96719602239993
2020-05-05,127.04036802239996
2020-05-06,126.06776002239994
2020-05-07,127.72432402239994
2020-05-08,127.25421202239993
2020-05-11,126.80896602239993
2020-05-12,127.16451202239993
2020-05-13,127.45661202239995
2020-05-14,128.00077002239996
2020-05-15,128.29177402239995
2020-05-18,127.27590202239996
2020-05-19,127.95187602239996
2020-05-20,128.52871802239997
2020-05-21,128.07631002239995
2020-05-22,128.45635602239997
2020-05-26,127.62979602239996
2020-05-27,127.80146202239996
2020-05-28,127.68445002239997
2020-05-29,128.70982402239997
2020-06-01,128.95750302169998
2020-06-02,128.78999462699997
2020-06-03,127.85583571139998
2020-06-04,127.51307504059996
2020-06-05,126.79451641969997
2020-06-08,127.75378794319997
2020-06-09,128.73641591949996
2020-06-10,130.31512780689994
2020-06-11,129.07700253169995
2020-06-12,128.66365102019992
2020-06-15,128.04182842489996
2020-06-16,129.05923286879994
2020-06-17,129.26627778519995
2020-06-18,129.60712470679994
2020-06-19,129.78855038429995
2020-06-22,129.99760101769994
2020-06-23,130.59837835699994
2020-06-24,130.01542176879994
2020-06-25,129.88487780169993
2020-06-26,129.96441722869994
